id_speaker	nome	cognome	sesso	legislatura	inizioMandato	fineMandato	tipoMandato	tipoFineMandato	dataNascita	cittaNascita	cittaNascita_geoname	provinciaNascita	nazioneNascita	idCamera	url_scheda
61	Sesa	Amici	F	17	2013-03-15	2018-03-22	deputato		1958-05-11	Sezze	https://www.geonames.org/3166571	Latina	Italia	http://dati.camera.it/ocd/persona.rdf/p35030	http://www.senato.it/leg/17/BGT/Schede/Attsen/00000061.htm
23879	Marta	Dassù	F				other		1955-03-08	Milano	https://www.geonames.org/3173434	Milano	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00023879.htm
5606	Simonetta	Giordani	F				other		1964-07-06	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00005606.htm
24528	Vincenzo	Spadafora	M	18	2018-03-23		deputato		1974-03-12	Afragola	https://www.geonames.org/3183455	Napoli	Italia	http://dati.camera.it/ocd/persona.rdf/p307190	http://www.senato.it/leg/18/BGT/Schede/Attsen/00024528.htm
28548	Anna Maria	Cancellieri	F				other		1943-10-22	Roma	https://www.geonames.org/3169069	Roma	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00028548.htm
28670	Graziano	Delrio	M	18	2018-03-23		deputato		1960-04-27	Reggio Emilia	https://www.geonames.org/3169524	Reggio Emilia	Italia	http://dati.camera.it/ocd/persona.rdf/p306540	http://www.senato.it/leg/17/BGT/Schede/Attsen/00028670.htm
29565	Angelo	Rughetti	M	17	2013-03-15	2018-03-22	deputato		1967-04-22	Rieti	https://www.geonames.org/3169411	Rieti	Italia	http://dati.camera.it/ocd/persona.rdf/p305945	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029565.htm
29573	Ivan	Scalfarotto	M	17	2013-03-15	2018-03-22	deputato		1965-08-16	Pescara	https://www.geonames.org/3171163	Pescara	Italia	http://dati.camera.it/ocd/persona.rdf/p305933	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029573.htm
29573	Ivan	Scalfarotto	M	18	2018-03-23		deputato		1965-08-16	Pescara	https://www.geonames.org/3171163	Pescara	Italia	http://dati.camera.it/ocd/persona.rdf/p305933	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029573.htm
33750	Elisabetta	Trenta	F				other		1967-06-04	Velletri	https://www.geonames.org/3164630	Roma	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00033750.htm
34693	Roberto	Gualtieri	M	18	2020-03-04		deputato		1966-07-19	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p308241	http://www.senato.it/leg/18/BGT/Schede/Attsen/00034693.htm
29393	Mattia	Fantinati	M	17	2013-03-15	2018-03-22	deputato		1975-04-12	Nogara	https://www.geonames.org/3172235	Verona	Italia	http://dati.camera.it/ocd/persona.rdf/p305612	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029393.htm
29393	Mattia	Fantinati	M	18	2018-03-23		deputato		1975-04-12	Nogara	https://www.geonames.org/3172235	Verona	Italia	http://dati.camera.it/ocd/persona.rdf/p305612	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029393.htm
30752	Francesca	Barracciu	F				other		1966-06-11	Sorgono	https://www.geonames.org/3166360	Nuoro	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030752.htm
32833	Lucia	Azzolina	F	18	2018-03-23		deputato		1982-08-25	Siracusa	https://www.geonames.org/2523082	Siracusa	Italia	http://dati.camera.it/ocd/persona.rdf/p307530	http://www.senato.it/leg/18/BGT/Schede/Attsen/00032833.htm
25389	Gabriele	Toccafondi	M	18	2018-03-23		deputato		1972-04-15	Firenze	https://www.geonames.org/3176958	Firenze	Italia	http://dati.camera.it/ocd/persona.rdf/p302872	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025389.htm
29377	Michele	Dell'Orco	M	17	2013-03-15	2018-03-22	deputato		1985-09-07	Pavullo nel Frignano	https://www.geonames.org/3171355	Modena	Italia	http://dati.camera.it/ocd/persona.rdf/p305980	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029377.htm
29425	Andrea	Giorgis	M	17	2013-03-15	2018-03-22	deputato		1965-04-12	Torino	https://www.geonames.org/3165523	Torino	Italia	http://dati.camera.it/ocd/persona.rdf/p305567	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029425.htm
29425	Andrea	Giorgis	M	18	2018-03-23		deputato		1965-04-12	Torino	https://www.geonames.org/3165523	Torino	Italia	http://dati.camera.it/ocd/persona.rdf/p305567	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029425.htm
29433	Giulia	Grillo	F	17	2013-03-15	2018-03-22	deputato		1975-05-30	Catania	https://www.geonames.org/2525065	Catania	Italia	http://dati.camera.it/ocd/persona.rdf/p306071	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029433.htm
29433	Giulia	Grillo	F	18	2018-03-23		deputato		1975-05-30	Catania	https://www.geonames.org/2525065	Catania	Italia	http://dati.camera.it/ocd/persona.rdf/p306071	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029433.htm
29580	Carlo	Sibilia	M	17	2013-03-15	2018-03-22	deputato		1986-02-07	Avellino	https://www.geonames.org/3182649	Avellino	Italia	http://dati.camera.it/ocd/persona.rdf/p305918	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029580.htm
29580	Carlo	Sibilia	M	18	2018-03-23		deputato		1986-02-07	Avellino	https://www.geonames.org/3182649	Avellino	Italia	http://dati.camera.it/ocd/persona.rdf/p305918	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029580.htm
30744	Pietro Carlo	Padoan	M	18	2018-03-23		deputato		1950-01-19	Roma	https://www.geonames.org/3169069	Roma	Italia	http://dati.camera.it/ocd/persona.rdf/p306641	http://www.senato.it/leg/17/BGT/Schede/Attsen/00030744.htm
29257	Vincenzo	Amendola	M	17	2013-03-15	2018-03-22	deputato		1973-12-22	Napoli	https://www.geonames.org/3172391	Napoli	Italia	http://dati.camera.it/ocd/persona.rdf/p305931	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029257.htm
30743	Giuliano	Poletti	M				other		1951-11-19	Imola	https://www.geonames.org/3175537	Bologna	Italia		http://www.senato.it/leg/17/BGT/Schede/Attsen/00030743.htm
33753	Marco	Bussetti	M				other		1962-05-28	Gallarate	https://www.geonames.org/3176391	Varese	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00033753.htm
